配置,是否预售,适用发质,快递时效,数量,材质,有机认证,续航,特点,评分,保鲜期,套装,成本价,商品名称,功率,品牌,容量,等级,段位,产地,子类别,品种,适用年龄,厚度,库存,内容,功效,支持退换,尺码,防水,色号,功能,包含,尺寸,价格,重量,阻力类型,保质期,能效等级,奶源,类别,屏幕尺寸,长度,商品ID,件数,适用肤质,规格,颜色,销量,发货地
,否,,2-3天,,涤纶,,,,4.8,,,150.0,时尚休闲男士夹克,,潮流前线,,,,广东,外套,,,,500,,,是,S/M/L/XL/XXL,,,,,,299.0,,,,,,男装,,,PD001,,,,黑色/灰色/蓝色,1250,广州
,否,,1-2天,,雪纺,,,,4.9,,,80.0,女士修身连衣裙,,浪漫满屋,,,,浙江,连衣裙,,,,800,,,是,S/M/L/XL,,,,,,199.0,,,,,,女装,,,PD002,,,,红色/白色/粉色/黑色,3200,杭州
,否,,3-4天,,纯棉,,,,4.7,,,60.0,儿童卡通卫衣套装,,童趣天地,,,,山东,套装,,,,1200,,,是,100/110/120/130/140,,,,,,149.0,,,,,,童装,,,PD003,,,,蓝色/粉色/黄色/绿色,890,青岛
,否,,2-3天,,网布+橡胶,,,,4.8,,,180.0,轻便透气运动跑鞋,,飞跃运动,,,,福建,运动鞋,,,,350,,,是,39-45,,,,,,359.0,,,,,,鞋靴,,,PD004,,,,黑色/白色/灰色/橙色,2100,泉州
8GB+256GB,否,,1-2天,,,,,,4.6,,,1800.0,5G智能手机256GB,,智达科技,,,,广东,手机,,,,200,,,是,,,,,,,2599.0,,,,,,数码电子,,,PD005,,,,黑色/白色/蓝色/绿色,580,深圳
,否,,1-2天,,,,30小时,,4.9,,,250.0,无线蓝牙降噪耳机,,声韵电子,,,,广东,耳机,,,,600,,,是,,,,主动降噪,,,499.0,,,,,,数码电子,,,PD006,,,,黑色/白色/银色,4500,深圳
,否,,1-2天,,,,,,4.7,,,120.0,智能手环运动版,,健康生活,,,,广东,智能穿戴,,,,1500,,,是,,50米,,心率监测/计步/睡眠,,,299.0,,,,,,数码电子,,,PD007,,,,黑色/粉色/绿色,8900,深圳
8GB+128GB,否,,1-2天,,,,,,4.5,,,2200.0,便携式平板电脑128GB,,智达科技,,,,广东,平板,,,,150,,,是,,,,,,,3299.0,,,,,,数码电子,10.5英寸,,PD008,,,,灰色/银色,320,深圳
,否,,3-5天,,,,,,4.6,,,1800.0,智能变频空调1.5匹,1.5匹,清凉一夏,,,,安徽,空调,,,,80,,,是,,,,冷暖/智能/静音,,,2699.0,,,,一级能效,,家用电器,,,PD009,,,,,450,合肥
,否,,3-5天,,,,,,4.7,,,2400.0,全自动滚筒洗衣机,,洁净专家,8kg,,,江苏,洗衣机,,,,60,,,是,,,,变频/洗烘一体/智能投放,,,3599.0,,,,,,家用电器,,,PD010,,,,,280,南京
,否,,2-3天,,,,,,4.8,,,200.0,多功能空气炸锅,1500W,健康厨房,5.5L,,,浙江,厨房电器,,,,450,,,是,,,,无油煎炸/烘焙/保温,,,399.0,,,,,,家用电器,,,PD011,,,,,5600,宁波
,否,,2-3天,,,,120分钟,,4.6,,,1000.0,智能扫地机器人,,洁净专家,,,,广东,清洁电器,,,,200,,,是,,,,扫拖一体/自动集尘/激光导航,,,1899.0,,,,,,家用电器,,,PD012,,,,,1200,深圳
,否,,7-10天,,实木框架+布艺,,,,4.5,,,2800.0,北欧风格布艺沙发,,舒适家居,,,,广东,家具,,,,25,,,是,,,,,,220*90*85cm,4599.0,,,,,,家居日用,,,PD013,,,,灰色/米白/藏蓝,85,佛山
,否,,2-3天,,100%纯棉,,,,4.9,,,150.0,纯棉四件套床品,,温馨睡眠,,,,江苏,家纺,,,,600,,,是,,,,,,,399.0,,,,,,家居日用,,,PD014,,,1.5米床/1.8米床/2.0米床,多色可选,3800,南通
,否,,2-3天,,不锈钢,,,,4.7,,,100.0,不锈钢厨房刀具套装,,烹饪大师,,,,浙江,厨具,,,,800,,,是,,,,,菜刀/水果刀/厨师刀/剪刀/磨刀棒/刀架,,259.0,,,,,,家居日用,,,PD015,6件套,,,,4200,温州
,否,,1-2天,,,,,,4.8,,,180.0,保湿补水面霜套装,,美丽肌肤,,,,上海,护肤品,,,,900,,保湿/补水/修复,是,,,,,,,459.0,,,,,,美妆个护,,,PD016,,所有肤质,50g+50g,,6800,上海
,否,,1-2天,,,,,,4.9,,,130.0,持妆粉底液,,彩妆达人,,,,浙江,彩妆,,,,700,,持妆/遮瑕/轻薄,是,,,自然色/象牙白/亮白色,,,,329.0,,,,,,美妆个护,,,PD017,,,30ml,,9200,杭州
,否,油性/中性,1-2天,,,,,,4.7,,,35.0,清爽去屑洗发水,,健康秀发,,,,广东,洗护用品,,,,2500,,去屑/控油/止痒,是,,,,,,,89.0,,,,,,美妆个护,,,PD018,,,500ml,,15600,广州
,否,,2-3天,,,,,,4.8,,,70.0,进口坚果礼盒,,美味坚果,,,,越南,零食,,,,500,腰果/核桃/杏仁/夏威夷果,,否,,,,,,,168.0,,,12个月,,,食品生鲜,,,PD019,,,1500g,,8600,上海
,否,,3-5天,,,是,,,4.9,,,35.0,有机大米5kg,,绿色田园,,,,黑龙江,粮油,东北大米,,,2000,,,否,,,,,,,69.9,,,,,,食品生鲜,,,PD020,,,5kg,,12000,哈尔滨
,否,,1-2天,,,,,,4.6,7天,,80.0,新鲜进口车厘子1kg,,鲜果时光,,JJ级,,智利,生鲜,智利车厘子,,,300,,,否,,,,,,,128.0,,,,,,食品生鲜,,,PD021,,,1kg,,3200,上海
,否,,1-2天,,,,,,4.8,,,220.0,婴儿配方奶粉3段,,宝贝营养,,,3段(12-36月),广东,奶粉,,,,400,,,否,,,,,,,368.0,,,,,荷兰,母婴用品,,,PD022,,,800g*2罐,,2800,广州
,否,,1-2天,68片,,,,超薄/透气/干爽,4.9,,,85.0,超薄透气纸尿裤NB码,,宝宝舒适,,,,广东,纸尿裤,,,,800,,,是,,,,,,,168.0,,,,,,母婴用品,,,PD023,,,NB/S/M/L/XL,,9500,广州
,否,,2-3天,,ABS塑料,,,,4.7,,,80.0,婴儿益智早教玩具,,聪明宝贝,,,,浙江,玩具,,0-3岁,,600,,,是,,,,音乐/灯光/早教,,,199.0,,,,,,母婴用品,,,PD024,,,,,4500,温州
,否,,2-3天,,TPE环保材质,,,,4.8,,,55.0,专业健身瑜伽垫,,运动达人,,,,山东,健身器材,,,15mm,1200,,,是,,,,,,,159.0,,,,,,运动户外,,,PD025,,,183*68cm,,15600,济南
,否,,2-3天,,铝合金,,,,4.6,,,35.0,户外折叠登山杖,,探险家,,,,浙江,户外装备,,,,900,,,是,,,,,,,89.0,250g,,,,,运动户外,,65-135cm可调,PD026,,,,,3200,杭州
,否,,5-7天,,,,,,4.5,,,1800.0,无线智能动感单车,,健身先锋,,,,江苏,健身器材,,,,50,,,是,,,,APP互联/实景骑行/心率监测,,,2999.0,,磁控阻力,,,,运动户外,,,PD027,,,,,280,苏州
,否,,2-3天,,合成革+网布,,,,4.7,,,250.0,专业篮球运动鞋,,飞跃运动,,,,福建,运动鞋,,,,400,,,是,39-45,,,减震/防滑/透气,,,499.0,,,,,,运动户外,,,PD028,,,,,1800,泉州
